leg,stimuli,EO,response
VF81,0.25,EO4891,144.5182724
VF81,0.5,EO4891,78.73754153
VF81,1,EO4891,83.72093023
VF81,2.5,EO4891,119.269103
VF81,5,EO4891,78.40531561
VF81,acet_after,EO4891,99.66777409
VF83,acet_before,EO4891,80.59377263
VF83,0.1,EO4891,91.564084
VF83,0.25,EO4891,102.2085445
VF83,0.5,EO4891,79.72483707
VF83,1,EO4891,92.10716872
VF83,2.5,EO4891,56.91527878
VF83,5,EO4891,57.67559739
VF83,acet_after,EO4891,102.9688631
